name,slug,value,date_of_information,ranking,region
"Slovakia","slovakia","$173,582,000,000","2021",73,"Europe"
"Sudan","sudan","$168,980,000,000","2021",74,"Africa"
"Tanzania","tanzania","$159,326,000,000","2021",75,"Africa"
"Oman","oman","$155,028,000,000","2021",76,"Middle East"
"Guatemala","guatemala","$152,734,000,000","2021",77,"Central America and the Caribbean"
"Libya","libya","$147,942,000,000","2021",78,"Africa"
"Cote d'Ivoire","cote-divoire","$146,323,000,000","2021",79,"Africa"
"Azerbaijan","azerbaijan","$146,305,000,000","2021",80,"Middle East"
"Cuba","cuba","$137,000,000,000","2017",81,"Central America and the Caribbean"
"Serbia","serbia","$135,534,000,000","2021",82,"Europe"
"Tunisia","tunisia","$127,509,000,000","2021",83,"Africa"
"Panama","panama","$126,352,000,000","2021",84,"Central America and the Caribbean"
"Croatia","croatia","$123,348,000,000","2021",85,"Europe"
"Nepal","nepal","$115,093,000,000","2021",86,"South Asia"
"Lithuania","lithuania","$110,089,000,000","2021",87,"Europe"
"Costa Rica","costa-rica","$109,260,000,000","2021",88,"Central America and the Caribbean"
"Puerto Rico","puerto-rico","$106,500,000,000","2021",89,"Central America and the Caribbean"
"Uganda","uganda","$103,007,000,000","2021",90,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","$102,956,000,000","2021",91,"Africa"
"Jordan","jordan","$102,822,000,000","2021",92,"Middle East"
"Cameroon","cameroon","$100,648,000,000","2021",93,"Africa"
"Bolivia","bolivia","$97,266,000,000","2021",94,"South America"
"Turkmenistan","turkmenistan","$92,331,000,000","2019",95,"Central Asia"
"Paraguay","paraguay","$91,759,000,000","2021",96,"South America"
"Slovenia","slovenia","$84,400,000,000","2021",97,"Europe"
"Uruguay","uruguay","$78,121,000,000","2021",98,"South America"
"Luxembourg","luxembourg","$74,045,000,000","2021",99,"Europe"
"Yemen","yemen","$73,630,000,000","2017",100,"Middle East"
"Lebanon","lebanon","$72,577,000,000","2021",101,"Middle East"
"Bahrain","bahrain","$72,267,000,000","2021",102,"Middle East"
"Cambodia","cambodia","$72,238,000,000","2021",103,"East and Southeast Asia"
"Georgia","georgia","$63,403,000,000","2022",104,"Middle East"
"Zambia","zambia","$63,030,000,000","2021",105,"Africa"
"Afghanistan","afghanistan","$60,803,000,000","2021",106,"South Asia"
"Latvia","latvia","$60,457,000,000","2021",107,"Europe"
"Senegal","senegal","$58,991,000,000","2021",108,"Africa"
"Laos","laos","$58,264,000,000","2021",109,"East and Southeast Asia"
"El Salvador","el-salvador","$57,371,000,000","2021",110,"Central America and the Caribbean"
"Honduras","honduras","$57,273,000,000","2021",111,"Central America and the Caribbean"
"Estonia","estonia","$51,531,000,000","2021",112,"Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","$51,244,000,000","2021",113,"Europe"
"Syria","syria","$50,280,000,000","2015",114,"Middle East"
"Burkina Faso","burkina-faso","$48,175,000,000","2021",115,"Africa"
"Mali","mali","$46,452,000,000","2021",116,"Africa"
"Macau","macau","$44,490,000,000","2021",117,"East and Southeast Asia"
"Benin","benin","$43,170,000,000","2021",118,"Africa"
"Madagascar","madagascar","$42,322,000,000","2021",119,"Africa"
"Albania","albania","$40,822,000,000","2021",120,"Europe"
"Korea, North","korea-north","$40,000,000,000","2015",121,"East and Southeast Asia"
"Armenia","armenia","$39,613,000,000","2021",122,"Middle East"
"Mozambique","mozambique","$39,351,000,000","2021",123,"Africa"
"Mongolia","mongolia","$39,063,000,000","2021",124,"East and Southeast Asia"
"Nicaragua","nicaragua","$38,628,000,000","2021",125,"Central America and the Caribbean"
"Botswana","botswana","$38,415,000,000","2021",126,"Africa"
"Tajikistan","tajikistan","$38,058,000,000","2021",127,"Central Asia"
"Cyprus","cyprus","$37,546,000,000","2021",128,"Europe"
"Papua New Guinea","papua-new-guinea","$36,589,000,000","2021",129,"East and Southeast Asia"
"Guinea","guinea","$35,729,000,000","2021",130,"Africa"
"Trinidad and Tobago","trinidad-and-tobago","$35,147,000,000","2021",131,"Central America and the Caribbean"
"North Macedonia","north-macedonia","$34,007,000,000","2021",132,"Europe"
"Zimbabwe","zimbabwe","$33,829,000,000","2021",133,"Africa"
"Moldova","moldova","$33,789,000,000","2022",134,"Europe"
"Haiti","haiti","$32,856,000,000","2021",135,"Central America and the Caribbean"
"Gabon","gabon","$32,340,000,000","2021",136,"Africa"
"Kyrgyzstan","kyrgyzstan","$32,221,000,000","2021",137,"Central Asia"
"Rwanda","rwanda","$30,141,000,000","2021",138,"Africa"
"Niger","niger","$29,964,000,000","2021",139,"Africa"
"Malawi","malawi","$29,658,000,000","2021",140,"Africa"
"West Bank","west-bank","$27,779,000,000","2021",141,"Middle East"
"Gaza Strip","gaza-strip","$27,779,000,000","2021",142,"Middle East"
"Jamaica","jamaica","$27,136,000,000","2021",143,"Central America and the Caribbean"
"Brunei","brunei","$26,779,000,000","2021",144,"East and Southeast Asia"
"Mauritius","mauritius","$26,547,000,000","2021",145,"Africa"
"Mauritania","mauritania","$24,494,000,000","2021",146,"Africa"
"Chad","chad","$24,490,000,000","2021",147,"Africa"
"Equatorial Guinea","equatorial-guinea","$23,924,000,000","2021",148,"Africa"
"Malta","malta","$23,157,000,000","2021",149,"Europe"
"Namibia","namibia","$23,120,000,000","2021",150,"Africa"
"Kosovo","kosovo","$21,226,000,000","2021",151,"Europe"
"South Sudan","south-sudan","$20,010,000,000","2017",152,"Africa"
"Iceland","iceland","$19,962,000,000","2021",153,"Europe"
"Somalia","somalia","$19,399,000,000","2021",154,"Africa"
"Congo, Republic of the","congo-republic-of-the","$18,875,000,000","2021",155,"Africa"
"Togo","togo","$18,369,000,000","2021",156,"Africa"
"Guyana","guyana","$17,640,000,000","2021",157,"South America"
"Sierra Leone","sierra-leone","$13,597,000,000","2021",158,"Africa"
"Montenegro","montenegro","$12,757,000,000","2021",159,"Europe"
"Bahamas, The","bahamas-the","$12,323,000,000","2021",160,"Central America and the Caribbean"
"Eswatini","eswatini","$10,560,000,000","2021",161,"Africa"
"New Caledonia","new-caledonia","$10,266,000,000","2021",162,"Australia and Oceania"
"Maldives","maldives","$9,785,000,000","2021",163,"South Asia"
"Eritrea","eritrea","$9,702,000,000","2017",164,"Africa"
"Fiji","fiji","$9,578,000,000","2021",165,"Australia and Oceania"
"Suriname","suriname","$9,052,000,000","2021",166,"South America"
"Burundi","burundi","$8,849,000,000","2021",167,"Africa"
"Bhutan","bhutan","$8,481,000,000","2021",168,"South Asia"
"Monaco","monaco","$7,672,000,000","2015",169,"Europe"
"Liberia","liberia","$7,391,000,000","2021",170,"Africa"
"Isle of Man","isle-of-man","$6,792,000,000","2015",171,"Europe"
"Timor-Leste","timor-leste","$6,648,000,000","2021",172,"East and Southeast Asia"
"Guam","guam","$5,793,000,000","2016",173,"Australia and Oceania"
"French Polynesia","french-polynesia","$5,650,000,000","2021",174,"Australia and Oceania"
"Jersey","jersey","$5,569,000,000","2016",175,"Europe"
"Gambia, The","gambia-the","$5,482,000,000","2021",176,"Africa"
"Djibouti","djibouti","$5,432,000,000","2021",177,"Africa"
"Lesotho","lesotho","$5,236,000,000","2021",178,"Africa"
"Bermuda","bermuda","$5,127,000,000","2021",179,"North America"
"Liechtenstein","liechtenstein","$4,978,000,000","2014",180,"Europe"
"Cayman Islands","cayman-islands","$4,599,000,000","2021",181,"Central America and the Caribbean"
"Central African Republic","central-african-republic","$4,483,000,000","2019",182,"Africa"
"Aruba","aruba","$4,141,000,000","2021",183,"Central America and the Caribbean"
"Virgin Islands","virgin-islands","$3,872,000,000","2016",184,"Central America and the Caribbean"
"Barbados","barbados","$3,868,000,000","2021",185,"Central America and the Caribbean"
"Guinea-Bissau","guinea-bissau","$3,774,000,000","2021",186,"Africa"
"Cabo Verde","cabo-verde","$3,595,000,000","2021",187,"Africa"
"Belize","belize","$3,505,000,000","2021",188,"Central America and the Caribbean"
"Guernsey","guernsey","$3,465,000,000","2015",189,"Europe"
"Andorra","andorra","$3,327,000,000","2015",190,"Europe"
"Curacao","curacao","$3,167,000,000","2021",191,"Central America and the Caribbean"
"Seychelles","seychelles","$2,855,000,000","2021",192,"Africa"
"Comoros","comoros","$2,653,000,000","2021",193,"Africa"
"Greenland","greenland","$2,413,000,000","2015",194,"North America"
"Saint Lucia","saint-lucia","$2,344,000,000","2021",195,"Central America and the Caribbean"
"Gibraltar","gibraltar","$2,044,000,000","2014",196,"Europe"
"Faroe Islands","faroe-islands","$2,001,000,000","2014",197,"Europe"
"San Marino","san-marino","$1,917,000,000","2020",198,"Europe"
"Antigua and Barbuda","antigua-and-barbuda","$1,783,000,000","2021",199,"Central America and the Caribbean"
"Grenada","grenada","$1,706,000,000","2021",200,"Central America and the Caribbean"
"Solomon Islands","solomon-islands","$1,703,000,000","2021",201,"Australia and Oceania"
"Sint Maarten","sint-maarten","$1,436,000,000","2018",202,"Central America and the Caribbean"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","$1,429,000,000","2021",203,"Central America and the Caribbean"
"Saint Kitts and Nevis","saint-kitts-and-nevis","$1,261,000,000","2021",204,"Central America and the Caribbean"
"Northern Mariana Islands","northern-mariana-islands","$1,242,000,000","2016",205,"Australia and Oceania"
"Samoa","samoa","$1,211,000,000","2021",206,"Australia and Oceania"
"Sao Tome and Principe","sao-tome-and-principe","$904,057,000","2021",207,"Africa"
"Vanuatu","vanuatu","$888,165,000","2021",208,"Australia and Oceania"
"Turks and Caicos Islands","turks-and-caicos-islands","$835,171,000","2021",209,"Central America and the Caribbean"
"Dominica","dominica","$787,700,000","2021",210,"Central America and the Caribbean"
"American Samoa","american-samoa","$658,000,000","2016",211,"Australia and Oceania"
"Tonga","tonga","$651,247,000","2021",212,"Australia and Oceania"
"Saint Martin","saint-martin","$561,500,000","2005",213,"Central America and the Caribbean"
"British Virgin Islands","british-virgin-islands","$500,000,000","2017",214,"Central America and the Caribbean"
"Micronesia, Federated States of","micronesia-federated-states-of","$375,055,000","2021",215,"Australia and Oceania"
"Cook Islands","cook-islands","$266,000,000","2022",216,"Australia and Oceania"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","$261,300,000","2015",217,"North America"
"Marshall Islands","marshall-islands","$250,694,000","2021",218,"Australia and Oceania"
"Kiribati","kiribati","$249,640,000","2021",219,"Australia and Oceania"
"Palau","palau","$248,468,000","2021",220,"Australia and Oceania"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","$206,400,000","2015",221,"South America"
"Anguilla","anguilla","$175,400,000","2009",222,"Central America and the Caribbean"
"Montserrat","montserrat","$167,400,000","2011",223,"Central America and the Caribbean"
"Nauru","nauru","$149,474,000","2021",224,"Australia and Oceania"
"Wallis and Futuna","wallis-and-futuna","$60,000,000","2004",225,"Australia and Oceania"
"Tuvalu","tuvalu","$55,169,000","2021",226,"Australia and Oceania"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","$31,100,000","2009",227,"Africa"
"Niue","niue","$18,700,000","2021",228,"Australia and Oceania"
"Tokelau","tokelau","$7,711,583","2017",229,"Australia and Oceania"
